
Transactions
User,Olivier Brunel,ab12c34d-5e67-8901-2f34-5a6b78901c2d
Timestamp,Transaction Type,Asset,Quantity Transacted,Spot Price Currency,Spot Price at Transaction,Subtotal,Total (inclusive of fees and/or spread),Fees and/or Spread,Notes
2023-06-17 21:47:11 UTC,Staking Income,SOL,0.000016203,EUR,14.33,0.00,0.00,0,
2023-06-17 16:46:17 UTC,Staking Income,SOL,0.000016494,EUR,14.35,0.00,0.00,0,
2023-06-15 05:49:35 UTC,Staking Income,SOL,0.000016758,EUR,13.62,0.00,0.00,0,
2023-06-15 03:43:28 UTC,Staking Income,SOL,0.000016636,EUR,13.75,0.00,0.00,0,
2023-06-08 18:59:47 UTC,Staking Income,SOL,0.000016821,EUR,17.41,0.00,0.00,0,
2023-06-07 19:17:58 UTC,Staking Income,SOL,0.000016812,EUR,17.69,0.00,0.00,0,
2023-06-05 19:53:38 UTC,Receive,USDC,0.006572,EUR,0.93,0.01,0.01,0,Received 0.006572 USDC from 
2023-06-05 17:57:32 UTC,Staking Income,SOL,0.000016527,EUR,18.74,0.00,0.00,0,
2023-06-01 18:37:29 UTC,Staking Income,SOL,0.000016571,EUR,19.33,0.00,0.00,0,
2023-06-01 00:20:04 UTC,Staking Income,SOL,0.000016558,EUR,19.55,0.00,0.00,0,
2023-05-26 20:33:14 UTC,Receive,SOL,0.000000992,EUR,18.15,0.00,0.00,0,Received 0.000000992 SOL from 
2023-05-24 18:00:45 UTC,Staking Income,SOL,0.000008488,EUR,17.88,0.00,0.00,0,
2023-05-06 11:54:17 UTC,Receive,SOL,0.00001584,EUR,20.47,0.00,0.00,0,Received 0.00001584 SOL from 
2023-05-05 00:04:42 UTC,Receive,USDC,0.006363,EUR,0.91,0.01,0.01,0,Received 0.006363 USDC from Coinbase Rewards
2023-05-03 01:25:59 UTC,Receive,SOL,0.000006776,EUR,19.99,0.00,0.00,0,Received 0.000006776 SOL from 
2023-04-29 19:47:16 UTC,Receive,SOL,0.000006777,EUR,21.11,0.00,0.00,0,Received 0.000006777 SOL from 
2023-04-13 05:45:15 UTC,Receive,SOL,0.00000627,EUR,21.80,0.00,0.00,0,Received 0.00000627 SOL from 
2023-04-13 05:34:58 UTC,Receive,SOL,0.000009705,EUR,21.85,0.00,0.00,0,Received 0.000009705 SOL from 
2023-04-06 03:01:24 UTC,Receive,SOL,0.000016451,EUR,19.05,0.00,0.00,0,Received 0.000016451 SOL from 
2023-04-05 00:42:14 UTC,Receive,SOL,0.000016675,EUR,19.33,0.00,0.00,0,Received 0.000016675 SOL from 
2023-04-03 22:03:45 UTC,Receive,USDC,0.0033,EUR,0.92,0.00,0.00,0,Received 0.0033 USDC from Coinbase Rewards
2023-04-03 03:57:20 UTC,Receive,SOL,0.000006572,EUR,18.58,0.00,0.00,0,Received 0.000006572 SOL from 
2023-04-02 11:50:12 UTC,Receive,SOL,0.000006707,EUR,19.36,0.00,0.00,0,Received 0.000006707 SOL from 
2023-04-01 20:36:19 UTC,Receive,SOL,0.000008582,EUR,19.47,0.00,0.00,0,Received 0.000008582 SOL from 
2023-04-01 05:58:45 UTC,Receive,SOL,0.000006706,EUR,19.49,0.00,0.00,0,Received 0.000006706 SOL from 
2023-03-25 00:28:23 UTC,Receive,SOL,0.054359906,EUR,19.26,1.05,1.05,0,Received 0.054359906 SOL from 
2023-03-25 00:28:23 UTC,Send,SOL,0.054359906,EUR,19.26,1.05,1.05,0,Sent 0.054359906 SOL to 
2023-03-19 11:59:56 UTC,Receive,SOL,0.000006722,EUR,20.35,0.00,0.00,0,Received 0.000006722 SOL from 
2023-03-17 20:01:49 UTC,Receive,SOL,0.000006784,EUR,19.32,0.00,0.00,0,Received 0.000006784 SOL from 
2023-03-17 03:44:21 UTC,Receive,SOL,0.000009643,EUR,18.71,0.00,0.00,0,Received 0.000009643 SOL from 
2023-03-03 09:21:47 UTC,Receive,SOL,0.000009627,EUR,19.95,0.00,0.00,0,Received 0.000009627 SOL from 
2023-03-03 08:00:24 UTC,Receive,USDC,0.002812,EUR,0.94,0.00,0.00,0,Received 0.002812 USDC from Coinbase Rewards
2023-03-01 16:56:32 UTC,Receive,SOL,0.000009619,EUR,21.14,0.00,0.00,0,Received 0.000009619 SOL from 
2023-02-25 08:42:47 UTC,Receive,SOL,0.000009726,EUR,21.69,0.00,0.00,0,Received 0.000009726 SOL from 
2023-02-20 08:43:22 UTC,Receive,SOL,0.000003839,EUR,24.69,0.00,0.00,0,Received 0.000003839 SOL from 
2023-02-17 08:55:24 UTC,Receive,SOL,0.000003855,EUR,21.27,0.00,0.00,0,Received 0.000003855 SOL from 
2023-02-15 11:50:45 UTC,Receive,SOL,0.000003874,EUR,20.69,0.00,0.00,0,Received 0.000003874 SOL from 
2023-02-09 10:48:23 UTC,Buy,ETH,0.03138069,EUR,1529.92,48.01,50.00,1.99,Bought 0.03138069 ETH for 50 EUR
2023-02-09 04:52:26 UTC,Receive,SOL,0.000008877,EUR,21.02,0.00,0.00,0,Received 0.000008877 SOL from 
2023-02-05 07:58:58 UTC,Receive,SOL,0.000001004,EUR,22.56,0.00,0.00,0,Received 0.000001004 SOL from 
2023-02-03 18:07:26 UTC,Receive,SOL,0.000001607,EUR,22.84,0.00,0.00,0,Received 0.000001607 SOL from 
2023-02-02 13:33:49 UTC,Convert,USDT,3.899902,EUR,0.91,3.55,3.55,0,Converted 3.899902 USDT to 3.900526 USDC
2023-01-30 15:52:33 UTC,Buy,BTC,0.002235,EUR,21480.98,48.01,50.00,1.99,Bought 0.002235 BTC for 50 EUR
2023-01-27 21:26:47 UTC,Receive,SOL,0.000002457,EUR,22.48,0.00,0.00,0,Received 0.000002457 SOL from 
